"Type","Category","Name","RelativePath","Size_KB","LastWriteTime"
"Root File","Other","20250609083132573.pdf","20250609083132573.pdf","447","6/9/2025 8:33:30 AM"
"Root File","BS","BS DMVT GDN 132-2025-TK.pdf","BS DMVT GDN 132-2025-TK.pdf","498.75","4/18/2025 1:14:51 PM"
"Root File","BS","BS DMVT GDN 147-2025-TK.pdf","BS DMVT GDN 147-2025-TK.pdf","431.29","5/6/2025 10:31:11 AM"
"Root File","BS","BS GDN 209-2025-TK (BS them SO 2100000320).pdf","BS GDN 209-2025-TK (BS them SO 2100000320).pdf","246.72","7/7/2025 1:55:34 PM"
"Root File","BS","BS GDN 233-2025-TK (DH thu nghiem su cao 3P 35kV-CD1260 Dong hai).pdf","BS GDN 233-2025-TK (DH thu nghiem su cao 3P 35kV-CD1260 Dong hai).pdf","478.13","10/2/2025 10:01:04 AM"
"Root File","BS","BS GDN 234-2025-TK (Thay so may T00031986).pdf","BS GDN 234-2025-TK (Thay so may T00031986).pdf","478.87","7/28/2025 11:06:24 AM"
"Root File","BS","BS-GDN 284-2025-TK (KL Vo thung MBA 1P-100kVA-24225T).pdf","BS-GDN 284-2025-TK (KL Vo thung MBA 1P-100kVA-24225T).pdf","948.42","11/18/2025 8:41:26 AM"
"Root File","BS","BS-GDN 294-2025-TK (Dieu chinh MBA 3500kVA, 4000kVA theo YCKH) GDN 300-2025-KD.pdf","BS-GDN 294-2025-TK (Dieu chinh MBA 3500kVA, 4000kVA theo YCKH) GDN 300-2025-KD.pdf","966.39","10/14/2025 8:21:32 AM"
"Root File","GDN","GDN  42-2025-TK (Dong bao bi go cho he thong giam sat MBA) GDN 28-2025-KD.pdf","GDN  42-2025-TK (Dong bao bi go cho he thong giam sat MBA) GDN 28-2025-KD.pdf","965.75","2/13/2025 10:09:28 AM"
"Root File","GDN","GDN 002-2025-TK (Giao hang SO 2100000257).pdf","GDN 002-2025-TK (Giao hang SO 2100000257).pdf","405.85","1/2/2025 1:43:34 PM"
"Root File","GDN","GDN 004-2024-TK (Dat hang MBA Kho 1000kVA).pdf","GDN 004-2024-TK (Dat hang MBA Kho 1000kVA).pdf","215.25","1/3/2025 3:23:37 PM"
"Root File","GDN","GDN 005-2025-TK (Giao hang SO 1300007534).pdf","GDN 005-2025-TK (Giao hang SO 1300007534).pdf","418.04","1/6/2025 9:33:43 AM"
"Root File","GDN","GDN 006-2025-TK (Sap so nhan nam 2025) GDN 05-2025-KD.pdf","GDN 006-2025-TK (Sap so nhan nam 2025) GDN 05-2025-KD.pdf","1196.28","1/8/2025 8:49:55 AM"
"Root File","GDN","GDN 007-2025-TK (Dieu chinh MBA sau nghiem thu) GDN 004-2025-KD.pdf","GDN 007-2025-TK (Dieu chinh MBA sau nghiem thu) GDN 004-2025-KD.pdf","929.98","1/7/2025 2:51:58 PM"
"Root File","GDN","GDN 008-2025-TK (Sua chua may 320kVA - 24006B bi phong cao ap) GDN 01-2025-MBA.pdf","GDN 008-2025-TK (Sua chua may 320kVA - 24006B bi phong cao ap) GDN 01-2025-MBA.pdf","1241.86","1/8/2025 8:48:08 AM"
"Root File","GDN","GDN 01-2025-TK (Su dung cac thanh dongcat xeo con ton kho-loai gia cong ngoai, dot 1).pdf","GDN 01-2025-TK (Su dung cac thanh dongcat xeo con ton kho-loai gia cong ngoai, dot 1).pdf","33324.72","1/16/2025 11:24:20 AM"
