"Type","GDN","File","GroupSize"
"Cung so GDN","022","GDN 022-2025-TK (Gia cong nap may & binh dau phu)-A3.pdf","2"
"Cung so GDN","022","GDN 022-2025-TK (Gia cong nap may & binh dau phu).pdf","2"
"Cung so GDN","118","GDN 118-2025-KT (Trang bi chuot may tinh Quan-Dan).pdf","2"
"Cung so GDN","118","GDN 118-4-2025-ĐN-TK(Lap bo ty ha the len tam inox)-M.Thanh.pdf","2"
"Cung so GDN","132","BS DMVT GDN 132-2025-TK.pdf","2"
"Cung so GDN","132","GDN 132-2025-TK (Thay nhan may mo hinh MBA 3 pha 100kVA trung bay tai Campuchia).pdf","2"
"Cung so GDN","162","GDN 162-2025-KT (Say ruot may tren lo say chan khong).pdf","2"
"Cung so GDN","162","GDN 162-2025-TK (Su dung dong nhiet WT404-102-000-02AS &Cam bien nhiet do-Cty A Chau).pdf","2"
"Cung so GDN","209","BS GDN 209-2025-TK (BS them SO 2100000320).pdf","2"
"Cung so GDN","209","GDN 209-2025-TK (Xu ly loi tole khong dat P0 2500kVA-24106F, SO 2100000314).pdf","2"
"Cung so GDN","225","GDN 225-2025-TK (Xu ly 400-24007B cp Pk cao hon tieu chuan T00033429).pdf","2"
"Cung so GDN","225","SD GDN 225-2025 (xu ly MBA 400kVA-24007B).pdf","2"
"Cung so GDN","233","BS GDN 233-2025-TK (DH thu nghiem su cao 3P 35kV-CD1260 Dong hai).pdf","2"
"Cung so GDN","233","GDN 233-2025-TK (DH thu nghiem su cao 3P 35kV-CD1260 Dong Hai).pdf","2"
"Cung so GDN","234","BS GDN 234-2025-TK (Thay so may T00031986).pdf","2"
"Cung so GDN","234","GDN 234-2025-TK (Giao hang SO 1300008580).pdf","2"
"Cung so GDN","255","GDN 255-2025-TK (Quan thu nghiem boi day ha ap AMP 4000kVA-25135T tren may quan dong la moi TQ).pdf","2"
"Cung so GDN","255","SDBV GDN 255-2025-TK (Quan thu nghiem boi day ha ap AMP 4000kVA-25135T).pdf","2"
"Cung so GDN","284","BS-GDN 284-2025-TK (KL Vo thung MBA 1P-100kVA-24225T).pdf","2"
"Cung so GDN","284","GDN 284-2025-TK (KL vo thùng MBA 1P100kVA-24225).pdf","2"
"Cung so GDN","294","BS-GDN 294-2025-TK (Dieu chinh MBA 3500kVA, 4000kVA theo YCKH) GDN 300-2025-KD.pdf","2"
"Cung so GDN","294","GDN 294-2025-TK (Dieu chinh MBA 3500kVA & 4000kVA Theo YCKH).pdf","2"
"Cung so GDN","49","GDN 49-2025-TK (DH MBA Kho JIANGU HUACHEN).pdf","2"
"Cung so GDN","49","SD GDN 49-2025-KT (BV Mat bang bo tri thiet bi).pdf","2"
"Cung so GDN","88","GDN 88-2025-TK (Dat hang MBA Kho JIANGSU LOONG).pdf","2"
"Cung so GDN","88","SD GDN 88-2025-TK (Dat hang MBA Kho JIANGSU LOONG) 400kVA thay 250kVA.pdf","2"
